months,style,sku,size,pcs,rate,gross_amt
2021-06-01,SET110,SET110-KR-PP-XXL,XXL,1.00,876.85,877.00
2021-06-01,SET250,SET250-KR-SHA-M,M,1.00,844.35,844.00
2021-06-01,SET073,SET073-KR-SHA-L,L,1.00,844.35,844.00
2021-06-01,J0234,J0234-SKD-XXL,XXL,1.00,1201.85,1202.00
2021-06-01,J0007,J0007-SKD-XXL,XXL,1.00,1136.85,1137.00
2021-06-01,J0244,J0244-SKD-L,L,1.00,1234.35,1234.00
2021-06-01,J0244,J0244-SKD-XL,XL,1.00,1234.35,1234.00
2021-06-01,J0246,J0246-SKD-M,M,1.00,1234.35,1234.00
2021-06-01,J0246,J0246-SKD-L,L,1.00,1234.35,1234.00
2021-06-01,J0284,J0284-SKD-XXL,XXL,1.00,1494.35,1494.00
2021-06-01,J0230,J0230-SKD-L,L,1.00,1364.35,1364.00
2021-06-01,J0230,J0230-SKD-XL,XL,1.00,1364.35,1364.00
2021-06-01,J0011,J0011-LCD-L,L,1.00,1234.35,1234.00
2021-06-01,J0011,J0011-LCD-XL,XL,1.00,1234.35,1234.00
2021-06-01,J0011,J0011-LCD-XXL,XXL,1.00,1234.35,1234.00
2021-06-01,SET238,SET238-KR-PP-L,L,1.00,649.35,649.00
2021-06-01,SET227,SET227-KR-PP-L,L,1.00,779.35,779.00
2021-06-01,SET228,SET228-KR-PP-L,L,1.00,779.35,779.00
2021-06-01,SET229,SET229-KR-PP-L,L,1.00,941.85,942.00
2021-06-01,SET234,SET234-KR-PP-L,L,1.00,574.00,574.00
2021-06-01,SET235,SET235-KR-PP-L,L,1.00,583.33,583.00
2021-06-01,SET206,SET206-KR-PP-L,L,1.00,993.75,994.00
2021-06-01,SET231,SET231-KR-PP-L,L,1.00,582.59,583.00
2021-06-01,SET240,SET240-KR-PP-L,L,1.00,714.35,714.00
2021-06-01,J0137,J0137-SET-L,L,1.00,844.35,844.00
2021-06-01,J0148,J0148-SET-L,L,1.00,876.85,877.00
2021-06-01,SET210,SET210-KR-PP-L,L,1.00,779.35,779.00
2021-06-01,SET241,SET241-KR-PP-L,L,1.00,500.00,500.00
2021-06-01,SET225,SET225-KR-NP-L,L,1.00,811.85,812.00
2021-06-01,SET233,SET233-KR-PP-L,L,1.00,779.35,779.00
2021-06-01,J0211,J0211-DR-L,L,1.00,779.35,779.00
2021-06-01,JNE3697,JNE3697-KR-L,L,1.00,454.35,454.00
2021-06-01,J0035,J0035-KR-L,L,1.00,618.75,619.00
2021-06-01,JNE3391,JNE3391-KR-L,L,1.00,616.85,617.00
2021-06-01,JNE3628,JNE3628-KR-L,L,1.00,486.85,487.00
2021-06-01,J0212,J0212-DR-L,L,1.00,746.85,747.00
2021-06-01,SET100,SET100-KR-PP-L,L,1.00,1039.35,1039.00
2021-06-01,J0138,J0138-KR-L,L,1.00,649.35,649.00
2021-06-01,J0151,J0151-KR-L,L,1.00,714.35,714.00
2021-06-01,J0283,J0283-SET-L,L,1.00,1039.35,1039.00
2021-06-01,JNE3364,JNE3364-KR-1051-XL,XL,1.00,421.85,422.00
2021-06-01,JNE3365,JNE3365-KR-1052-L,L,1.00,421.85,422.00
2021-06-01,J0037,J0037-KR-XXL,XXL,1.00,779.35,779.00
2021-06-01,J0037,J0037-KR-XXXL,XXXL,1.00,779.35,779.00
2021-06-01,JNE3609,JNE3609-KR-L,L,1.00,551.85,552.00
2021-06-01,JNE3609,JNE3609-KR-XL,XL,1.00,551.85,552.00
2021-06-01,J0177,J0177-KR-L,L,1.00,551.85,552.00
2021-06-01,J0177,J0177-KR-XL,XL,1.00,551.85,552.00
2021-06-01,J0177,J0177-KR-XXXL,XXXL,1.00,551.85,552.00
